Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |er  |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |e   |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |   e|
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |e  e|
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |   e|
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |†   |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |   e|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |   e|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | e †|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |   e|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |e   |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |† † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | † †|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |†   |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |e   |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | † †|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | † †|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |e   |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | † †|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |   ê|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |†   |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |† † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |   e|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |e † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:15 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:15 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |†   |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: | † †|
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |e   |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 13:35:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: | † †|
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |   e|
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |†   |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: | êˇˇ|
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: |  e |
Sun Nov  7 13:35:33 2021 L'Arduino ha segnalato questo errore: | † e|
Sun Nov  7 13:35:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:33 2021 L'Arduino ha segnalato questo errore: ||
Sun Nov  7 13:47:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:33 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:34 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:34 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:34 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 13:47:34 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
